City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Hilo,US,19.7297,-155.09,85.28,81,100,3.44,overcast clouds
133,Novyy Svit,UA,47.8059,38.0211,69.91,57,40,10.98,scattered clouds
134,Pochutla,MX,15.7432,-96.4661,82.81,89,94,1.41,overcast clouds
135,Kavieng,PG,-2.5744,150.7967,83.71,66,42,11.43,scattered clouds
136,Asau,RO,46.4333,26.4,63.52,89,91,1.92,overcast clouds
137,Wysokie Mazowieckie,PL,52.9166,22.5171,55.33,77,99,7.61,overcast clouds
138,Sioux Lookout,CA,50.1001,-91.917,72.54,54,42,4.18,scattered clouds
139,Xanxere,BR,-26.8769,-52.4042,43.38,91,19,1.52,few clouds
140,Butaritari,KI,3.0707,172.7902,82.24,73,4,14.25,clear sky
141,Songea,TZ,-10.6833,35.65,54.61,82,68,0.45,broken clouds
142,Castro,BR,-24.7911,-50.0119,46.09,60,0,4.09,clear sky
143,Sri Aman,MY,1.2376,111.4621,74.48,99,99,2.39,overcast clouds
144,Eureka,US,40.8021,-124.1637,69.21,81,69,5.99,broken clouds
145,Miandrivazo,MG,-19.5167,45.4667,73.51,65,88,1.99,overcast clouds
146,Lagos De Moreno,MX,21.35,-101.9167,76.96,54,91,10.18,overcast clouds
147,Kholm,RU,59.2667,32.85,54.63,96,81,8.37,broken clouds
148,Balikpapan,ID,-1.2675,116.8289,77.99,100,20,4.61,few clouds
149,Benghazi,LY,32.1167,20.0667,80.17,78,0,12.33,clear sky
150,Mattawa,US,46.7379,-119.9028,106.09,9,0,7.56,clear sky
151,Dikson,RU,73.5069,80.5464,40.62,96,100,17.85,overcast clouds
152,Cape Canaveral,US,28.4058,-80.6048,86.2,72,0,9.22,clear sky
153,Mareeba,AU,-17.0,145.4333,73.49,72,39,6.31,scattered clouds
154,Westport,US,41.1415,-73.3579,82.02,67,20,6.91,light rain
155,Richards Bay,ZA,-28.783,32.0377,66.13,65,6,10.74,clear sky
156,Letterkenny,IE,54.95,-7.7333,62.01,96,100,9.44,moderate rain
157,Mecca,SA,21.4267,39.8261,89.65,22,68,3.89,broken clouds
158,Bambanglipuro,ID,-7.95,110.2833,75.36,87,97,6.29,overcast clouds
159,Tiksi,RU,71.6872,128.8694,47.48,83,100,6.6,overcast clouds
160,Pangody,RU,65.85,74.4859,64.02,60,53,5.08,broken clouds
161,Sale,MA,34.0389,-6.8166,72.75,100,40,0.0,scattered clouds
162,Serenje,ZM,-13.2325,30.2352,50.4,72,33,5.79,scattered clouds
163,Saint Anthony,US,45.0205,-93.218,80.76,46,20,10.36,few clouds
164,Fortuna,US,40.5982,-124.1573,68.94,78,75,11.5,broken clouds
165,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.88,80,41,22.12,scattered clouds
166,Norman Wells,CA,65.282,-126.8329,55.44,88,75,10.36,light intensity shower rain
167,Ossora,RU,59.2353,163.0719,56.98,67,100,10.76,overcast clouds
168,Inongo,CD,-1.95,18.2667,69.69,77,65,5.57,broken clouds
169,Qasigiannguit,GL,68.8193,-51.1922,52.05,74,100,2.48,overcast clouds
170,San Jeronimo,PE,-11.9472,-75.2829,50.74,68,11,6.17,few clouds
171,Midland,US,31.9974,-102.0779,97.47,24,0,19.57,clear sky
172,Portland,US,45.5234,-122.6762,102.7,39,0,9.22,clear sky
173,Marawi,PH,7.9986,124.2928,75.47,79,98,3.51,overcast clouds
174,Hermanus,ZA,-34.4187,19.2345,45.81,70,98,10.49,overcast clouds
175,Mogadishu,SO,2.0371,45.3438,75.61,83,71,16.51,light rain
176,Severo-Kurilsk,RU,50.6789,156.125,55.47,81,97,13.18,overcast clouds
177,Saskylakh,RU,71.9167,114.0833,67.01,62,83,4.76,broken clouds
178,Awbari,LY,26.5921,12.7805,85.93,16,1,6.76,clear sky
179,Ullapool,GB,57.8987,-5.1604,63.36,89,100,7.9,light rain
180,Santarem,BR,-2.4431,-54.7083,78.93,94,0,2.3,clear sky
181,Manokwari,ID,-0.8667,134.0833,82.11,71,98,5.79,overcast clouds
182,Porto Velho,BR,-8.7619,-63.9039,78.17,46,17,1.19,few clouds
183,Kilembe,UG,0.2,30.0,61.48,92,98,1.9,light rain
184,Kahului,US,20.8947,-156.47,91.42,46,20,17.27,few clouds
185,Yuanping,CN,38.7153,112.7575,70.16,82,17,3.15,few clouds
186,Daye,CN,30.0833,114.95,81.66,81,1,2.21,clear sky
187,Rorvik,NO,64.8621,11.2373,57.7,74,91,3.65,overcast clouds
188,Solnechnyy,RU,50.7214,136.6319,75.43,84,93,8.84,light rain
189,Huilong,CN,31.8111,121.655,85.93,80,62,10.45,broken clouds
190,Verkhnevilyuysk,RU,63.4453,120.3167,74.66,64,61,4.21,broken clouds
191,Xiuyan,CN,40.2928,123.2744,72.54,97,100,2.64,overcast clouds
192,Tanuku,IN,16.75,81.7,79.27,86,51,2.95,broken clouds
193,Caravelas,BR,-17.7125,-39.2481,73.35,80,58,11.95,broken clouds
194,Guasdualito,VE,7.2424,-70.7324,74.71,92,41,1.74,scattered clouds
195,Coos Bay,US,43.3665,-124.2179,80.31,88,100,19.57,mist
196,Talcahuano,CL,-36.7167,-73.1167,51.48,82,0,8.05,clear sky
197,Kloulklubed,PW,7.0419,134.2556,77.5,79,100,13.89,light rain
198,Cidreira,BR,-30.1811,-50.2056,52.3,78,65,11.88,broken clouds
199,Aswan,EG,24.0934,32.907,88.29,19,18,8.81,few clouds
200,Ambulu,ID,-8.345,113.6058,75.76,79,97,3.89,overcast clouds
201,Hamilton,US,39.1834,-84.5333,80.04,52,40,11.5,scattered clouds
202,Victoria,HK,22.2855,114.1577,89.26,82,67,8.99,broken clouds
203,Hibbing,US,47.4272,-92.9377,73.38,56,19,6.46,few clouds
204,Saldanha,ZA,-33.0117,17.9442,53.2,66,72,3.8,broken clouds
205,Lebu,CL,-37.6167,-73.65,48.24,84,30,19.39,scattered clouds
206,Sinnamary,GF,5.3833,-52.95,78.69,82,69,7.99,broken clouds
207,Touros,BR,-5.1989,-35.4608,76.1,86,47,9.51,scattered clouds
208,Katobu,ID,-4.9408,122.5276,79.18,76,89,6.02,overcast clouds
209,Changde,CN,29.0464,111.6783,79.38,84,6,4.99,clear sky
210,Pangkalanbuun,ID,-2.6833,111.6167,74.32,98,97,0.43,light rain
