City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Meulaboh,ID,75.88,overcast clouds,4.1363,96.1285,Kost Pria
496,Itaituba,BR,83.1,broken clouds,-4.2761,-55.9836,Hotel Campos
497,Shenjiamen,CN,82.29,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
499,Shenzhen,CN,89.15,broken clouds,22.5455,114.0683,Grand Skylight
500,Manado,ID,81.37,few clouds,1.487,124.8455,Aryaduta Hotel
502,Orbetello,IT,75.96,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
506,Nara,JP,87.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
515,Virginia Beach,US,81.01,heavy intensity rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
522,Namatanai,PG,84.07,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
528,Madras,IN,84.18,mist,13.0878,80.2785,"Taj Connemara, Chennai"
532,Mayo,US,80.19,broken clouds,38.8876,-76.5119,Resorts Resource Group International
534,Waingapu,ID,77.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
538,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
539,Ajdabiya,LY,79.34,clear sky,30.7554,20.2263,Almadina Hotel
544,Yuanli,TW,86.22,broken clouds,24.4397,120.6535,東里家風古厝民宿
547,Itarema,BR,78.98,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
550,Kamaishi,JP,79.83,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
555,Milos,GR,76.75,clear sky,36.75,24.4333,Agnánti
557,Port Keats,AU,75.54,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
558,Mana,GF,76.19,scattered clouds,5.6592,-53.7767,LE SAMANA
562,San Jose,US,84.69,few clouds,37.3394,-121.895,The Westin San Jose
563,Beba,CU,77.27,scattered clouds,22.4437,-79.7253,Hostal Cubaustria
565,Samandag,TR,79.32,clear sky,36.0842,35.9771,Anadolu Palace Hotel
569,Bhachau,IN,79.66,few clouds,23.2833,70.35,Amrut Bagh Resort
570,Mahina,PF,82.17,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
572,Cockburn Town,TC,81.75,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
574,Lazaro Cardenas,MX,84.31,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
576,Hai Duong,VN,84.2,overcast clouds,20.9333,106.3167,Hai Khanh Hotel
582,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
586,Slave Lake,CA,78.98,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
587,Kenai,US,75.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
588,La Mira,MX,84.02,scattered clouds,18.035,-102.3266,Cabaña San Francisco
590,Havelock,US,84.97,overcast clouds,34.8791,-76.9013,Sherwood Motel
593,Mazatlan,MX,87.76,scattered clouds,23.2167,-106.4167,Hotel La Siesta
