City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Dong Xoai,VN,2022-07-26 02:07:09,11.5333,106.9167,82.04,80,96,1.52
107,Katsuura,JP,2022-07-26 02:04:42,35.1333,140.3,82.42,87,100,17.69
108,Narsaq,GL,2022-07-26 02:07:12,60.9167,-46.05,52.02,91,100,1.14
109,Hithadhoo,MV,2022-07-26 02:08:24,-0.6,73.0833,82.89,74,25,12.86
110,Nome,US,2022-07-26 02:08:24,64.5011,-165.4064,55.17,94,100,6.91
111,Luderitz,NA,2022-07-26 02:08:24,-26.6481,15.1594,54.55,86,36,12.64
112,Bubaque,GW,2022-07-26 02:08:25,11.2833,-15.8333,78.37,81,94,10.78
113,Salmas,IR,2022-07-26 02:08:25,38.1973,44.7653,61.43,75,0,1.72
114,Gat,IL,2022-07-26 02:08:25,31.61,34.7642,75.4,68,0,1.72
115,Catabola,AO,2022-07-26 02:08:26,-12.15,17.2833,54.0,40,0,1.52
116,Nemuro,JP,2022-07-26 02:08:26,43.3236,145.575,66.24,84,6,7.61
117,Hofn,IS,2022-07-26 02:08:26,64.2539,-15.2082,51.6,86,8,1.36
118,Monrovia,LR,2022-07-26 02:08:27,6.3005,-10.7969,73.98,77,3,4.68
119,Coquimbo,CL,2022-07-26 02:08:27,-29.9533,-71.3436,54.34,80,100,1.28
120,Tura,IN,2022-07-26 02:04:39,25.5198,90.2201,74.39,97,100,3.78
121,Kristiinankaupunki,FI,2022-07-26 02:08:28,62.2743,21.376,62.02,93,100,17.74
122,Tadine,NC,2022-07-26 02:06:15,-21.55,167.8833,73.18,68,21,13.2
123,Constitucion,CL,2022-07-26 02:08:28,-35.3333,-72.4167,53.1,92,100,19.98
124,Yeppoon,AU,2022-07-26 02:08:28,-23.1333,150.7333,71.38,67,2,2.48
125,Waipawa,NZ,2022-07-26 02:08:29,-41.4122,175.5153,53.28,98,100,7.76
126,Coihueco,CL,2022-07-26 02:08:29,-36.6167,-71.8333,50.74,87,100,19.57
127,Sitka,US,2022-07-26 02:05:32,57.0531,-135.33,57.09,94,100,3.44
128,Burnie,AU,2022-07-26 02:08:29,-41.0667,145.9167,55.94,71,80,0.83
129,Helsinki,FI,2022-07-26 02:06:13,60.1695,24.9355,67.03,83,0,10.36
130,Tiznit,MA,2022-07-26 02:08:30,29.5833,-9.5,88.52,18,10,2.73
131,Komsomolskiy,UZ,2022-07-26 02:08:30,40.4272,71.7189,83.12,30,0,9.22
132,Port Elizabeth,ZA,2022-07-26 02:08:26,-33.918,25.5701,48.31,89,0,1.99
133,Teya,RU,2022-07-26 02:08:31,60.3778,92.6267,57.85,95,100,3.13
134,Mataura,NZ,2022-07-26 02:08:31,-46.1927,168.8643,46.47,97,100,10.85
135,Chincha Alta,PE,2022-07-26 02:08:32,-13.4099,-76.1323,59.59,82,70,2.15
136,Marawi,PH,2022-07-26 02:08:33,7.9986,124.2928,81.88,63,97,1.86
137,Zamosc,PL,2022-07-26 02:08:33,50.7231,23.252,58.93,72,68,5.88
138,Chuguyevka,RU,2022-07-26 02:08:33,44.1653,133.8633,78.22,65,100,3.85
139,Khatanga,RU,2022-07-26 02:08:34,71.9667,102.5,75.36,37,2,6.13
140,Colonia,DE,2022-07-26 02:06:22,50.9333,6.95,65.82,72,20,8.05
141,Faya,SA,2022-07-26 02:08:34,18.3851,42.4509,61.32,54,100,8.77
142,Loa Janan,ID,2022-07-26 02:08:34,-0.583,117.095,81.09,85,87,3.69
143,Saskylakh,RU,2022-07-26 02:08:35,71.9167,114.0833,73.71,62,93,7.0
144,Airai,TL,2022-07-26 02:08:35,-8.9266,125.4092,71.82,36,15,4.32
145,Princeton,US,2022-07-26 02:08:35,25.5384,-80.4089,85.01,85,100,9.22
146,Lagoa,PT,2022-07-26 02:08:36,39.05,-27.9833,73.18,91,0,9.73
147,Tignere,CM,2022-07-26 02:08:36,7.3667,12.65,63.86,97,100,1.59
148,Maldonado,UY,2022-07-26 02:08:36,-34.6667,-54.9167,57.22,96,100,12.44
149,Lasa,IT,2022-07-26 02:08:37,46.6166,10.7002,60.37,93,99,4.23
150,Khorinsk,RU,2022-07-26 02:08:37,52.1657,109.7726,60.15,76,100,1.72
151,Derby,GB,2022-07-26 02:04:58,52.9228,-1.4766,58.06,88,40,5.75
152,Denia,ES,2022-07-26 02:08:37,38.8408,0.1057,82.74,89,26,5.99
153,Mehamn,NO,2022-07-26 02:06:49,71.0357,27.8492,57.11,88,100,4.61
154,Martil,MA,2022-07-26 02:08:38,35.6166,-5.2752,85.35,28,0,9.75
155,Chokurdakh,RU,2022-07-26 02:08:38,70.6333,147.9167,63.07,33,46,15.08
156,Pozo Colorado,PY,2022-07-26 02:08:38,-23.4923,-58.7972,74.35,39,0,5.19
157,Rio Grande,BR,2022-07-26 02:08:39,-32.035,-52.0986,60.94,98,96,6.62
158,Esperance,AU,2022-07-26 02:04:36,-33.8667,121.9,57.74,51,3,21.16
159,San Policarpo,PH,2022-07-26 02:08:39,12.1791,125.5072,85.68,66,89,5.97
160,Gwadar,PK,2022-07-26 02:08:40,25.1216,62.3254,81.93,88,86,6.08
161,Locri,IT,2022-07-26 02:08:40,38.2414,16.2623,80.31,77,0,14.79
162,Haines Junction,CA,2022-07-26 02:08:33,60.7522,-137.5108,59.76,74,85,8.21
163,Ust-Omchug,RU,2022-07-26 02:04:50,61.15,149.6333,70.09,38,43,1.88
164,Mukhen,RU,2022-07-26 02:08:40,48.1,136.1,78.58,64,78,4.83
